更新时间: 2026-03-24 02:34:15（北京时间）

更新时间,#genre#
2026-03-24 02:34:15,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
东南卫视,http://113.102.83.19:4022/rtp/239.77.0.146:5146$广东电信
东南卫视,http://144.255.40.221:7788/rtp/239.21.1.113:5002$山东电信
东南卫视,http://171.120.189.21:89/rtp/226.0.2.188:9416$山西联通
海南卫视,http://171.8.84.159:8800/rtp/239.16.20.97:10970$河南电信
海南卫视,http://113.102.83.19:4022/rtp/239.253.43.35:5146$广东电信
海南卫视,http://144.255.40.221:7788/rtp/239.21.2.14:5002$山东电信
海南卫视,http://171.120.189.21:89/rtp/226.0.2.212:9608$山西联通
河北卫视,http://171.8.84.159:8800/rtp/239.16.20.88:10880$河南电信
河北卫视,http://113.102.83.19:4022/rtp/239.77.1.214:5146$广东电信
河北卫视,http://144.255.40.221:7788/rtp/239.21.1.168:5002$山东电信
河北卫视,http://171.120.189.21:89/rtp/226.0.2.178:9336$山西联通
河南卫视,http://171.8.84.159:8800/rtp/239.16.20.21:10210$河南电信
河南卫视,http://113.102.83.19:4022/rtp/239.77.0.17:5146$广东电信
河南卫视,http://144.255.40.221:7788/rtp/239.21.2.37:5002$山东电信
河南卫视,http://171.120.189.21:89/rtp/226.0.2.195:9472$山西联通
湖北卫视,http://171.8.84.159:8800/rtp/239.16.20.87:10870$河南电信
湖北卫视,http://113.102.83.19:4022/rtp/239.77.0.95:5146$广东电信
湖北卫视,http://144.255.40.221:7788/rtp/239.21.1.163:5002$山东电信
湖北卫视,http://171.120.189.21:89/rtp/226.0.2.150:9112$山西联通
江西卫视,http://171.8.84.159:8800/rtp/239.16.20.89:10890$河南电信
江西卫视,http://113.102.83.19:4022/rtp/239.77.1.219:5146$广东电信
江西卫视,http://144.255.40.221:7788/rtp/239.21.1.167:5002$山东电信
江西卫视,http://171.120.189.21:89/rtp/226.0.2.198:9496$山西联通
四川卫视,http://171.8.84.159:8800/rtp/239.16.20.86:10860$河南电信
四川卫视,http://113.102.83.19:4022/rtp/239.77.0.159:5146$广东电信
四川卫视,http://113.102.83.19:4022/rtp/239.77.0.60:5146$广东电信
四川卫视,http://144.255.40.221:7788/rtp/239.21.2.15:5002$山东电信
四川卫视,http://171.120.189.21:89/rtp/226.0.2.179:9344$山西联通
重庆卫视,http://171.8.84.159:8800/rtp/239.16.20.79:10790$河南电信
重庆卫视,http://113.102.83.19:4022/rtp/239.77.0.182:5146$广东电信
重庆卫视,http://144.255.40.221:7788/rtp/239.21.1.233:5002$山东电信
重庆卫视,http://171.120.189.21:89/rtp/226.0.2.174:9304$山西联通
贵州卫视,http://171.8.84.159:8800/rtp/239.16.20.81:10810$河南电信
贵州卫视,http://113.102.83.19:4022/rtp/239.77.1.221:5146$广东电信
贵州卫视,http://144.255.40.221:7788/rtp/239.21.1.166:5002$山东电信
贵州卫视,http://171.120.189.21:89/rtp/226.0.2.180:9352$山西联通
云南卫视,http://171.8.84.159:8800/rtp/239.16.20.85:10850$河南电信
云南卫视,http://113.102.83.19:4022/rtp/239.253.43.100:5146$广东电信
天津卫视,http://171.8.84.159:8800/rtp/239.16.20.96:10960$河南电信
天津卫视,http://113.102.83.19:4022/rtp/239.77.0.131:5146$广东电信
天津卫视,http://144.255.40.221:7788/rtp/239.21.1.165:5002$山东电信
天津卫视,http://171.120.189.21:89/rtp/226.0.2.148:9096$山西联通
安徽卫视,http://171.8.84.159:8800/rtp/239.16.20.75:10750$河南电信
安徽卫视,http://113.102.83.19:4022/rtp/239.77.0.183:5146$广东电信
安徽卫视,http://144.255.40.221:7788/rtp/239.21.1.159:5002$山东电信
安徽卫视,http://171.120.189.21:89/rtp/226.0.2.145:9072$山西联通
山东卫视,http://171.8.84.159:8800/rtp/239.16.20.80:10800$河南电信
山东卫视,http://113.102.83.19:4022/rtp/239.77.0.94:5146$广东电信
山东卫视,http://113.102.83.19:4022/rtp/239.77.0.61:5146$广东电信
山东卫视,http://144.255.40.221:7788/rtp/239.21.1.87:5002$山东电信
山东卫视,http://171.120.189.21:89/rtp/226.0.2.149:9104$山西联通
辽宁卫视,http://171.8.84.159:8800/rtp/239.16.20.95:10950$河南电信
辽宁卫视,http://113.102.83.19:4022/rtp/239.77.1.103:5146$广东电信
